pair,variant,seconds
1,baseline,0.3437
1,candidate,0.3490
2,candidate,0.3350
2,baseline,0.3376
3,baseline,0.3345
3,candidate,0.3433
4,candidate,0.3299
4,baseline,0.3402
5,baseline,0.3435
5,candidate,0.3334
6,candidate,0.3342
6,baseline,0.3483
7,baseline,0.3288
7,candidate,0.3259
8,candidate,0.4690
8,baseline,0.4014
9,baseline,0.3413
9,candidate,0.3344
10,candidate,0.3493
10,baseline,0.3802
