pair,variant,seconds
1,baseline,4.495625292
1,candidate,4.397915791
2,candidate,4.641761875
2,baseline,4.228195625
3,baseline,4.15846475
3,candidate,4.306634334
4,candidate,4.377344333
4,baseline,4.220179792
5,baseline,4.195943042
5,candidate,4.270567917
6,candidate,4.295771917
6,baseline,4.164665583
7,baseline,4.365315708
7,candidate,4.308569
8,candidate,4.191388792
8,baseline,4.073929166
9,baseline,4.190715833
9,candidate,4.2273215
10,candidate,4.243117125
10,baseline,4.338023625
