Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.hot-path.serial-noop-10000,3987419531,225863828,20567968,16449,39845888
All.hot-path.async8-noop-10000,7930716015,54226394,33598133,200593,40894464
