Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.hot-path.serial-noop-10000,5111961914,285338868,24251596,22507,39845888
All.hot-path.async8-noop-10000,8915125000,498573280,37225950,191065,39845888
